Zip_Code,County,,
16514,Erie,,
16515,Erie,,
16522,Erie,,
16530,Erie,,
16531,Erie,,
16532,Erie,,
16533,Erie,,
16534,Erie,,
16538,Erie,,
16541,Erie,,
16544,Erie,,
16546,Erie,,
16550,Erie,,
16553,Erie,,
16554,Erie,,
16563,Erie,,
16565,Erie,,
16601,Blair,,
16602,Blair,,
16603,Blair,,
16611,Huntingdon,,
16613,Cambria,,
16616,Clearfield,,
16617,Blair,,
16619,Cambria,,
16620,Clearfield,,
16621,Huntingdon,,
16622,Huntingdon,,
16623,Huntingdon,,
16624,Cambria,,
16625,Blair,,
16627,Clearfield,,
16629,Cambria,,
16630,Cambria,,
16631,Blair,,
16633,Bedford,,
16634,Huntingdon,,
16635,Blair,,
16636,Cambria,,
16637,Blair,,
16638,Huntingdon,,
16639,Cambria,,
16640,Cambria,,
16641,Cambria,,
16644,Cambria,,
16645,Clearfield,,
16646,Cambria,,
16647,Huntingdon,,
16648,Blair,,
16650,Bedford,,
16651,Clearfield,,
16652,Huntingdon,,
16654,Huntingdon,,
16655,Bedford,,
16656,Clearfield,,
16657,Huntingdon,,
16659,Bedford,,
16660,Huntingdon,,
16661,Clearfield,,
16662,Blair,,
16663,Clearfield,,
16664,Bedford,,
16665,Blair,,
16666,Clearfield,,
16667,Bedford,,
16667,Bedford,,
16668,Cambria,,
16669,Huntingdon,,
16670,Bedford,,
16671,Clearfield,,
16672,Bedford,,
16673,Blair,,
16674,Huntingdon,,
16675,Cambria,,
16677,Centre,,
16678,Bedford,,
16679,Bedford,,
16680,Clearfield,,
16681,Clearfield,,
16682,Blair,,
16683,Huntingdon,,
16684,Blair,,
16685,Huntingdon,,
16686,Blair,,
16689,Fulton,,
16691,Fulton,,
16692,Clearfield,,
16693,Blair,,
16694,Bedford,,
16695,Bedford,,
16698,Clearfield,,
16699,Cambria,,
16701,Mckean,,
16720,Potter,,
16724,Mckean,,
16725,Mckean,,
16726,Mckean,,
16727,Mckean,,
16728,Elk,,
16729,Mckean,,
16730,Mckean,,
16731,Mckean,,
16732,Mckean,,
16733,Mckean,,
16734,Elk,,
16735,Mckean,,
16738,Mckean,,
16740,Mckean,,
16743,Mckean,,
16744,Mckean,,
16745,Mckean,,
16746,Potter,,
16748,Potter,,
16749,Mckean,,
16750,Mckean,,
16801,Centre,,
16802,Centre,,
16803,Centre,,
16804,Centre,,
16805,Centre,,
16820,Centre,,
16821,Clearfield,,
16822,Clinton,,
16823,Centre,,
16825,Clearfield,,
16826,Centre,,
16827,Centre,,
16828,Centre,,
16829,Centre,,
16830,Clearfield,,
16832,Centre,,
16833,Clearfield,,
16834,Clearfield,,
16835,Centre,,
16836,Clearfield,,
16837,Clearfield,,
16838,Clearfield,,
16839,Clearfield,,
16840,Clearfield,,
16841,Centre,,
16843,Clearfield,,
16844,Centre,,
16845,Clearfield,,
16847,Clearfield,,
16848,Clinton,,
16849,Clearfield,,
16850,Clearfield,,
16851,Centre,,
16852,Centre,,
16853,Centre,,
16854,Centre,,
16855,Clearfield,,
16856,Centre,,
16858,Clearfield,,
16859,Centre,,
16860,Clearfield,,
16861,Clearfield,,
16863,Clearfield,,
16864,Centre,,
16865,Centre,,
16866,Centre,,
16868,Centre,,
16870,Centre,,
16871,Clearfield,,
16872,Centre,,
16873,Clearfield,,
16874,Centre,,
16875,Centre,,
16876,Clearfield,,
16877,Huntingdon,,
16878,Clearfield,,
16879,Clearfield,,
16881,Clearfield,,
16882,Centre,,
16901,Tioga,,
16910,Bradford,,
16911,Tioga,,
16912,Tioga,,
16914,Bradford,,
16915,Potter,,
16917,Tioga,,
16918,Tioga,,
16920,Tioga,,
16921,Tioga,,
16922,Potter,,
16923,Potter,,
16925,Bradford,,
16926,Bradford,,
16927,Potter,,
16928,Tioga,,
16929,Tioga,,
16930,Tioga,,
16932,Tioga,,
16933,Tioga,,
16935,Tioga,,
16936,Tioga,,
16937,Potter,,
16938,Tioga,,
16939,Tioga,,
16940,Tioga,,
16941,Potter,,
16942,Tioga,,
16943,Tioga,,
16945,Bradford,,
16946,Tioga,,
16947,Bradford,,
16948,Potter,,
16950,Tioga,,
17001,Cumberland,,
17002,Mifflin,,
17003,Lebanon,,
17004,Mifflin,,
17005,Dauphin,,
17006,Perry,,
17007,Cumberland,,
17008,Cumberland,,
17009,Mifflin,,
17010,Lebanon,,
17011,Cumberland,,
17012,Cumberland,,
17013,Cumberland,,
17014,Juniata,,
17015,Cumberland,,
17016,Lebanon,,
17017,Northumberland,,
17018,Dauphin,,
17019,York,,
17020,Perry,,
17021,Juniata,,
17022,Lancaster,,
17023,Dauphin,,
17024,Perry,,
17025,Cumberland,,
17026,Lebanon,,
17027,Cumberland,,
17028,Dauphin,,
17029,Mifflin,,
17030,Dauphin,,
17032,Dauphin,,
17033,Dauphin,,
17034,Dauphin,,
17035,Juniata,,
17036,Dauphin,,
17037,Perry,,
17038,Lebanon,,
17039,Lebanon,,
17040,Perry,,
17041,Lebanon,,
17042,Lebanon,,
17043,Cumberland,,
17044,Mifflin,,
17045,Perry,,
17046,Lebanon,,
17047,Perry,,
17048,Dauphin,,
